dataset,publisher_id,sensor,raw_topic,protected_topic
pune,Karve Statue Square_5,pm2,air_quality/pune/Karve_Statue_Square_5/pm2,Karve_Statue_Square_5/pm2
pune,Lullanagar_Square_14,pm2,air_quality/pune/Lullanagar_Square_14/pm2,Lullanagar_Square_14/pm2
pune,PMPML_Bus_Depot_Deccan_15,pm2,air_quality/pune/PMPML_Bus_Depot_Deccan_15/pm2,PMPML_Bus_Depot_Deccan_15/pm2
pune,Pune Railway Station_28,pm2,air_quality/pune/Pune_Railway_Station_28/pm2,Pune_Railway_Station_28/pm2
pune,Rajashri_Shahu_Bus_stand_19,pm2,air_quality/pune/Rajashri_Shahu_Bus_stand_19/pm2,Rajashri_Shahu_Bus_stand_19/pm2
pune,BopadiSquare_65,humidity,air_quality/pune/BopadiSquare_65/humidity,BopadiSquare_65/humidity
pune,Chitale Bandhu Corner_41,humidity,air_quality/pune/Chitale_Bandhu_Corner_41/humidity,Chitale_Bandhu_Corner_41/humidity
pune,Dr Baba Saheb Ambedkar Sethu Junction_60,humidity,air_quality/pune/Dr_Baba_Saheb_Ambedkar_Sethu_Junction_60/humidity,Dr_Baba_Saheb_Ambedkar_Sethu_Junction_60/humidity
pune,Goodluck Square_Cafe_23,humidity,air_quality/pune/Goodluck_Square_Cafe_23/humidity,Goodluck_Square_Cafe_23/humidity
pune,Hadapsar_Gadital_01,humidity,air_quality/pune/Hadapsar_Gadital_01/humidity,Hadapsar_Gadital_01/humidity
pune,Karve Statue Square_5,humidity,air_quality/pune/Karve_Statue_Square_5/humidity,Karve_Statue_Square_5/humidity
pune,Lullanagar_Square_14,humidity,air_quality/pune/Lullanagar_Square_14/humidity,Lullanagar_Square_14/humidity
pune,PMPML_Bus_Depot_Deccan_15,humidity,air_quality/pune/PMPML_Bus_Depot_Deccan_15/humidity,PMPML_Bus_Depot_Deccan_15/humidity
pune,Pune Railway Station_28,humidity,air_quality/pune/Pune_Railway_Station_28/humidity,Pune_Railway_Station_28/humidity
pune,Rajashri_Shahu_Bus_stand_19,humidity,air_quality/pune/Rajashri_Shahu_Bus_stand_19/humidity,Rajashri_Shahu_Bus_stand_19/humidity
pune,BopadiSquare_65,sound,air_quality/pune/BopadiSquare_65/sound,BopadiSquare_65/sound
pune,Chitale Bandhu Corner_41,sound,air_quality/pune/Chitale_Bandhu_Corner_41/sound,Chitale_Bandhu_Corner_41/sound
pune,Dr Baba Saheb Ambedkar Sethu Junction_60,sound,air_quality/pune/Dr_Baba_Saheb_Ambedkar_Sethu_Junction_60/sound,Dr_Baba_Saheb_Ambedkar_Sethu_Junction_60/sound
pune,Goodluck Square_Cafe_23,sound,air_quality/pune/Goodluck_Square_Cafe_23/sound,Goodluck_Square_Cafe_23/sound
pune,Hadapsar_Gadital_01,sound,air_quality/pune/Hadapsar_Gadital_01/sound,Hadapsar_Gadital_01/sound
pune,Karve Statue Square_5,sound,air_quality/pune/Karve_Statue_Square_5/sound,Karve_Statue_Square_5/sound
pune,Lullanagar_Square_14,sound,air_quality/pune/Lullanagar_Square_14/sound,Lullanagar_Square_14/sound
pune,PMPML_Bus_Depot_Deccan_15,sound,air_quality/pune/PMPML_Bus_Depot_Deccan_15/sound,PMPML_Bus_Depot_Deccan_15/sound
pune,Pune Railway Station_28,sound,air_quality/pune/Pune_Railway_Station_28/sound,Pune_Railway_Station_28/sound
pune,Rajashri_Shahu_Bus_stand_19,sound,air_quality/pune/Rajashri_Shahu_Bus_stand_19/sound,Rajashri_Shahu_Bus_stand_19/sound
pune,BopadiSquare_65,ozone,air_quality/pune/BopadiSquare_65/ozone,BopadiSquare_65/ozone
pune,Chitale Bandhu Corner_41,ozone,air_quality/pune/Chitale_Bandhu_Corner_41/ozone,Chitale_Bandhu_Corner_41/ozone
pune,Dr Baba Saheb Ambedkar Sethu Junction_60,ozone,air_quality/pune/Dr_Baba_Saheb_Ambedkar_Sethu_Junction_60/ozone,Dr_Baba_Saheb_Ambedkar_Sethu_Junction_60/ozone
pune,Goodluck Square_Cafe_23,ozone,air_quality/pune/Goodluck_Square_Cafe_23/ozone,Goodluck_Square_Cafe_23/ozone
pune,Hadapsar_Gadital_01,ozone,air_quality/pune/Hadapsar_Gadital_01/ozone,Hadapsar_Gadital_01/ozone
pune,Karve Statue Square_5,ozone,air_quality/pune/Karve_Statue_Square_5/ozone,Karve_Statue_Square_5/ozone
pune,Lullanagar_Square_14,ozone,air_quality/pune/Lullanagar_Square_14/ozone,Lullanagar_Square_14/ozone
pune,PMPML_Bus_Depot_Deccan_15,ozone,air_quality/pune/PMPML_Bus_Depot_Deccan_15/ozone,PMPML_Bus_Depot_Deccan_15/ozone
pune,Pune Railway Station_28,ozone,air_quality/pune/Pune_Railway_Station_28/ozone,Pune_Railway_Station_28/ozone
pune,Rajashri_Shahu_Bus_stand_19,ozone,air_quality/pune/Rajashri_Shahu_Bus_stand_19/ozone,Rajashri_Shahu_Bus_stand_19/ozone
