Device_ID,Timestamp,Heart_Rate,Steps,Activity_Label,Activity_Confidence,Temperature,Humidity,Location,Battery_Level,Calories_Burned
Device_9,22:47.1,76,67,Sedentary,0.88,22.2,43.5,Gym,61,3.43
Device_7,27:47.1,65,5,Sedentary,0.98,24.4,41.5,Gym,32,3.16
Device_1,32:47.1,100,1247,Walking,0.95,22.1,41.3,Park,70,4.14
Device_10,37:47.1,71,118,Sedentary,0.88,18,48.5,Home,88,3.3
Device_8,42:47.1,56,20,Sedentary,0.89,24.8,45.8,Home,79,2.98
Device_8,47:47.1,109,4177,Running,0.86,21.7,46.5,Street,94,4.46
Device_2,52:47.1,70,118,Sedentary,0.89,25.8,45,Gym,45,3.28
Device_2,57:47.1,107,118,Walking,0.94,23.1,52.6,Park,61,4.39
Device_5,02:47.1,76,82,Sedentary,0.96,23.4,90.64,Gym,100,3.43
Device_5,07:47.1,58,118,Walking,1,21.9,57.1,Park,20,11.55
Device_7,12:47.1,58,118,Sedentary,0.98,22.8,54.6,Park,45,11.55
Device_1,17:47.1,116,118,Running,0.94,20.7,52.2,Street,45,4.73
Device_9,22:47.1,92,118,Walking,0.96,20.6,40.7,Home,67,3.88
Device_1,27:47.1,58,3088,Running,0.87,21.9,58.3,Street,87,11.55
Device_8,32:47.1,73,127,Sedentary,0.89,22,42.4,Street,80,3.35
Device_4,37:47.1,79,34,Sedentary,0.89,24.1,31,Office,73,3.51
Device_7,42:47.1,58,4610,Running,0.98,22.7,43.7,Street,98,11.55
Device_2,47:47.1,87,127,Walking,0.86,21.7,30.6,Home,66,3.73
Device_7,52:47.1,81,1507,Walking,0.9,22.1,53.6,Gym,40,3.56
Device_7,57:47.1,116,4701,Running,0.92,24.9,45,Street,48,4.73
Device_9,02:47.1,73,127,Sedentary,0.99,21.1,37.8,Park,57,3.35
Device_10,07:47.1,159,127,Running,0.91,18,68.8,Park,86,6.73
Device_10,12:47.1,58,1357,Walking,0.99,23.1,48.2,Street,80,11.55
Device_6,17:47.1,58,65.75628313,Sedentary,0.96,22,57.6,Gym,81,11.55
Device_6,22:47.1,125,3224,Running,0.96,25,39.3,Home,35,5.09
Device_3,27:47.1,58,2527,Walking,0.97,25.8,45,Gym,42,11.55
Device_10,32:47.1,64,127,Sedentary,0.93,21.6,37.7,Home,31,3.14
Device_3,37:47.1,59,2071,Walking,0.96,22.6,40.2,Park,60,11.55
Device_2,42:47.1,96,1022,Walking,0.98,23.2,30.1,Street,30,4.01
Device_2,47:47.1,76,33,Sedentary,0.95,20.8,31.1,Home,33,3.43
Device_9,52:47.1,78,29,Sedentary,0.97,21.1,42,Office,77,3.48
Device_6,57:47.1,74,127,Sedentary,0.97,21.7,50,Office,67,3.38
Device_5,02:47.1,107,1061,Walking,0.94,28.1,72.5,Park,21,4.39
Device_1,07:47.1,61,57,Sedentary,0.92,24.5,42,Park,56,3.08
Device_6,12:47.1,96,127,Walking,0.88,21.1,52.9,Home,80,4.01
Device_2,17:47.1,125,3191,Running,0.96,19.8,75.3,Park,62,5.09
Device_3,22:47.1,87,1706,Walking,0.96,22.4,48.5,Gym,67,3.73
Device_7,27:47.1,122,3066,Running,0.96,24.1,51.3,Street,38,4.97
Device_8,32:47.1,122,372,Cycling,0.91,21.9,54.8,Home,87,4.97
Device_1,37:47.1,87,1926,Walking,0.92,22,31.7,Street,86,3.73
Device_5,42:47.1,59,4518,Running,0.86,18,32.6,Home,58,9.5
Device_10,47:47.1,112,127,Walking,0.97,23.9,35.4,Office,36,4.57
Device_2,52:47.1,86,4196.659927,Walking,0.93,23.3,37.8,Office,89,3.7
Device_3,57:47.1,99,543,Cycling,0.91,21.6,53.9,Street,75,4.11
Device_5,02:47.1,103,695,Walking,0.85,18,51.4,Gym,37,4.24
Device_7,07:47.1,59,45,Sedentary,0.85,22.5,61,Park,100,9.5
Device_4,12:47.1,59,2481,Walking,0.86,20.9,90.98,Street,51,9.5
Device_9,17:47.1,59,291,Cycling,0.87,22.2,47.2,Park,54,9.5
Device_5,22:47.1,97,1041,Walking,0.95,21.9,57.3,Home,68,4.04
Device_8,27:47.1,59,426,Cycling,0.88,47.97,42,Home,93,9.5
Device_10,32:47.1,59,127,Walking,0.96,23,51.4,Home,71,9.5
Device_1,37:47.1,105,842,Walking,0.97,20.5,55.9,Home,98,4.32
Device_5,42:47.1,79,2118,Walking,0.96,21.3,34.8,Street,26,3.51
Device_9,47:47.1,97,186,Cycling,0.92,23.8,37,Street,81,4.04
Device_7,52:47.1,88,1445,Walking,0.89,24.6,58.8,Gym,91,3.76
Device_2,57:47.1,59,1006,Walking,1,19,48,Home,93,9.5
Device_3,02:47.1,124,3191,Running,0.9,27.1,50.4,Park,34,5.05
Device_1,07:47.1,119,4393,Running,0.99,22.4,34.9,Office,43,4.85
Device_6,12:47.1,96,1852,Walking,0.87,23.1,34.4,Street,79,4.01
Device_6,17:47.1,85,619,Walking,0.89,19,36.5,Street,96,3.67
Device_8,22:47.1,59,1765,Walking,0.93,21,42,Home,82,9.5
Device_7,27:47.1,89,542,Walking,0.95,21.6,50.3,Home,26,3.79
Device_7,32:47.1,57,127,Sedentary,0.9,22.7,58,Home,25,3
Device_3,37:47.1,93,1058,Walking,0.89,22.3,57.9,Park,92,3.91
Device_1,42:47.1,226.14,2985,Walking,0.96,20,35.6,Office,85,11.1
Device_1,47:47.1,101,269,Cycling,0.88,21.2,92.68,Office,80,4.18
Device_6,52:47.1,150,4363,Running,0.9,47.34,31,Street,46,6.26
Device_4,57:47.1,145,127,Running,0.87,23.2,42.4,Office,91,6.01
Device_5,02:47.1,64,132,Sedentary,0.89,24.3,54.4,Gym,84,3.14
Device_3,07:47.1,85,1250,Walking,0.93,23.6,43.2,Park,33,3.67
Device_10,12:47.1,120,132,Running,1,22.1,52.37767154,Office,81,4.89
Device_9,17:47.1,94,2021,Walking,0.97,19,44.9,Home,72,3.94
Device_6,22:47.1,79,132,Sedentary,0.98,19,58,Gym,25,3.51
Device_5,27:47.1,59,436,Cycling,0.97,19,49.4,Home,48,9.5
Device_1,32:47.1,73,132,Sedentary,0.91,22.8,58,Street,59,3.35
Device_4,37:47.1,116,132,Running,0.93,19,59.6,Gym,22,4.73
Device_5,42:47.1,60,4671,Running,0.86,23.4,41.6,Park,35,9.5
Device_10,47:47.1,132,4967,Running,0.94,19,53.9,Street,50,5.4
Device_10,52:47.1,142,4663,Running,0.95,18.8,47.9,Park,98,5.86
Device_2,57:47.1,60,2940,Walking,0.97,23.3,45.8,Street,53,9.5
Device_4,02:47.1,89,1766,Walking,0.96,19,58,Office,52,3.79
Device_9,07:47.1,112,72,Cycling,0.92,21,30.4,Street,90,4.57
Device_2,12:47.1,203.24,132,Sedentary,0.91,23.7,86.38,Gym,75,9.44
Device_7,17:47.1,389.31,4071,Running,0.9,23.7,49.1,Gym,42,28.09
Device_8,22:47.1,97,1194,Walking,0.85,21.1,76.6,Park,97,4.04
Device_5,27:47.1,83,2891,Walking,0.9,22.9,58,Office,72,3.62
Device_8,32:47.1,60,132,Sedentary,0.93,40.57,37.4,Park,74,9.5
Device_10,37:47.1,93,2338,Walking,0.94,19.5,63.9,Park,58,3.91
Device_9,42:47.1,60,1709,Walking,0.92,22.3,39.2,Street,70,9.5
Device_4,47:47.1,124,3081,Running,0.86,21.8,58,Home,21,5.05
Device_4,52:47.1,124,4220,Running,0.91,19,30.3,Street,30,5.05
Device_10,57:47.1,95,132,Cycling,0.88,21.4,36.7,Office,29,3.98
Device_8,02:47.1,79,87,Sedentary,0.95,23.9,58,Street,22,3.51
Device_8,07:47.1,153,132,Running,0.85,24.4,58,Park,87,6.41
Device_7,12:47.1,104,788,Walking,0.86,24.7,32.5,Office,33,4.28
Device_5,17:47.1,60,166.7391465,Sedentary,0.99,20.4,45.1,Office,45,9.5
Device_10,22:47.1,60,132,Sedentary,0.99,23.1,50.8,Office,20,9.5
Device_3,27:47.1,106,2688,Walking,0.99,38.25,44.9,Park,95,4.35
Device_8,32:47.1,118,146,Cycling,0.87,24.2,46.3,Gym,81,4.81
Device_6,37:47.1,109,4294,Running,0.92,46.78,49.7,Gym,43,4.46
Device_8,42:47.1,94,2702,Walking,0.99,24.2,55.8,Home,89,3.94
Device_10,47:47.1,60,132,Sedentary,0.85,19,57.1,Park,63,3.06
Device_10,52:47.1,94,1133,Walking,0.88,24.1,52.2,Park,84,3.94
Device_8,57:47.1,84,18,Sedentary,0.92,19,63.3,Park,61,3.64
Device_6,02:47.1,80,1515,Walking,0.99,19,58,Park,83,3.53
Device_9,07:47.1,148,3592,Running,0.94,23.9,51.5,Office,82,6.16
Device_1,12:47.1,94,2343,Walking,0.92,22.5,39.5,Home,47,3.94
Device_3,17:47.1,109,4487,Running,0.97,21.9,45.6,Street,83,4.46
Device_6,22:47.1,133,3244,Running,0.88,19,55.5,Gym,93,5.44
Device_7,27:47.1,66,49,Sedentary,0.96,24.6,41.7,Street,22,3.19
Device_6,32:47.1,74,132,Sedentary,0.97,22.9,32,Street,64,3.38
Device_1,37:47.1,100,145,Walking,1,19.2,46.6,Park,23,4.14
Device_4,42:47.1,94,888,Walking,0.87,23.2,45.2,Office,81,3.94
Device_1,47:47.1,151,4673,Running,0.9,21.5,46.4,Street,78,6.31
Device_10,52:47.1,92,3142.210958,Walking,0.91,29.7,75.5,Park,93,3.88
Device_3,57:47.1,143,3880,Running,0.99,20,51.6,Park,26,5.91
Device_7,02:47.1,60,3311,Running,0.94,22.6,42.5,Gym,84,9.5
Device_7,07:47.1,85,1864,Walking,0.86,25.1,58,Park,22,3.67
Device_7,12:47.1,104,1285,Walking,0.99,23,59.5,Gym,54,4.28
Device_3,17:47.1,78,145,Sedentary,0.94,20,57.2,Street,68,3.48
Device_7,22:47.1,60,145,Cycling,0.98,22.3,39.3,Street,35,9.5
Device_1,27:47.1,60,3544,Running,0.95,20,44.9,Home,38,8.4
Device_4,32:47.1,62,54,Sedentary,0.94,20.8,42,Office,91,3.1
Device_3,37:47.1,86,1161,Walking,0.98,23.4,58,Home,64,3.7
Device_10,42:47.1,68,2,Sedentary,0.99,20.3,62,Home,70,3.23
Device_5,47:47.1,60,3633,Running,0.95,31.8,38.9,Park,100,8.4
Device_8,52:47.1,100,145,Cycling,0.88,31.6,64.2,Park,24,4.14
Device_9,57:47.1,73,145,Sedentary,0.9,31.2,72.2,Park,38,3.35
Device_9,02:47.1,183.24,145,Sedentary,0.86,23.4,55.7,Gym,62,8.13
Device_6,07:47.1,380.72,3381,Running,0.89,20.5,34.5,Street,92,26.97
Device_6,12:47.1,63,65,Sedentary,0.95,24.4,32.1,Street,57,3.12
Device_10,17:47.1,60,2171,Walking,0.91,24.9,37.8,Street,67,8.4
Device_10,22:47.1,87,547,Walking,0.96,22.2,37.4,Home,62,3.73
Device_7,27:47.1,109,2065,Walking,0.87,21.2,34.5,Office,32,4.46
Device_6,32:47.1,120,421,Cycling,0.99,20.2,62,Street,94,4.89
Device_1,37:47.1,83,727,Walking,0.99,23,55.68,Home,22,3.62
Device_6,42:47.1,94,145,Walking,0.95,20,48.7,Office,77,3.94
Device_2,47:47.1,77,145,Sedentary,0.98,28.5,61.5,Park,35,3.45
Device_2,52:47.1,61,462,Cycling,0.93,23.3,41.2,Office,81,8.4
Device_7,57:47.1,131,4978,Running,0.9,20,34.5,Park,66,5.35
Device_4,02:47.1,75,55,Sedentary,0.99,25,55.2,Gym,53,3.4
Device_8,07:47.1,103,145,Walking,0.97,21.5,49.2,Office,37,4.24
Device_5,12:47.1,73,34,Sedentary,0.86,20.2,62,Street,45,3.35
Device_3,17:47.1,69,145,Sedentary,0.87,20,62,Home,63,3.26
Device_7,22:47.1,89,148,Cycling,0.99,20.8,100.67,Home,89,3.79
Device_10,27:47.1,97,5753.67,Walking,0.93,20,50.1,Home,75,4.04
Device_8,32:47.1,94,2166,Walking,1,20.9,45.3,Office,89,3.94
Device_8,37:47.1,105,2328,Walking,0.87,24.9,58,Office,96,4.32
Device_3,42:47.1,127,4466,Running,0.87,20,30.2,Park,66,5.18
Device_10,47:47.1,115,2756,Walking,0.92,23.2,51.1,Office,87,4.69
Device_4,52:47.1,104,422,Cycling,0.85,23.5,44.6,Street,35,4.28
Device_5,57:47.1,94,2666,Walking,0.85,51.14,62,Home,58,3.94
Device_7,02:47.1,61,252,Cycling,0.88,24.6,54.4,Home,62,8.4
Device_8,07:47.1,107,433,Cycling,0.88,20.8,57.2,Street,58,4.39
Device_6,12:47.1,105,2318,Walking,0.96,23.6,53.5,Gym,79,4.32
Device_3,17:47.1,107,1914,Walking,0.99,22.9,35.2,Office,25,4.39
Device_9,22:47.1,114,534,Cycling,0.92,23.8,54.7,Home,23,4.65
Device_2,27:47.1,71,7,Sedentary,0.97,20,53.6,Home,41,3.3
Device_3,32:47.1,140,4310,Running,0.95,23.2,62,Street,94,5.77
Device_5,37:47.1,108,145,Walking,0.91,18.8,43.6,Park,26,4.42
Device_4,42:47.1,83,2694,Walking,0.87,23.7,53.9,Street,44,3.62
Device_3,47:47.1,61,86,Cycling,0.91,41.42,53.4,Park,72,8.4
Device_4,52:47.1,320.61,145,Running,0.95,21,64.6,Park,44,19.84
Device_9,57:47.1,87,2077,Walking,0.86,22.7,36.9,Street,48,3.73
Device_4,02:47.1,87,2733,Walking,0.98,22.2,62,Office,95,3.73
Device_4,07:47.1,64,145,Sedentary,0.91,21,45.9,Office,22,3.14
Device_8,12:47.1,128,4043,Running,0.95,30.2,71.7,Park,41,5.22
Device_7,17:47.1,95,2168,Walking,0.87,21.7,34.1,Office,64,3.98
Device_1,22:47.1,214.69,145,Sedentary,0.94,21.8,50.6,Street,61,10.25
Device_10,27:47.1,93,1337,Walking,0.94,25.6,59.6,Gym,91,3.91
Device_8,32:47.1,152,11105.76,Running,0.96,21.3,34.4,Office,76,6.36
Device_8,37:47.1,69,30,Sedentary,0.92,21,43.4,Street,89,3.26
Device_2,42:47.1,89,2929,Walking,0.89,24,49,Gym,30,3.79
Device_8,47:47.1,106,1634,Walking,0.95,23.1,51.8,Street,94,4.35
Device_6,52:47.1,94,2842,Walking,0.88,21.6,56.9,Office,44,3.94
Device_5,57:47.1,122,4606,Running,0.96,23.9,41.4,Gym,67,4.97
Device_9,02:47.1,81,774,Walking,0.86,21,50.3,Home,90,3.56
Device_6,07:47.1,84,2326,Walking,0.94,22.1,62,Gym,33,3.64
Device_10,12:47.1,83,1230,Walking,0.99,21,34,Office,20,3.62
Device_6,17:47.1,61,3910,Running,0.96,21.6,53.4,Home,31,8.4
Device_8,22:47.1,112,680,Walking,0.95,21,48.8,Office,91,4.57
Device_9,27:47.1,87,5669.13,Walking,0.86,21.1,52.1,Street,95,3.73
Device_5,32:47.1,130,483,Cycling,0.94,24.7,35.7,Street,95,5.31
Device_9,37:47.1,132,3525,Running,0.86,22.4,32.5,Office,20,5.4
Device_4,42:47.1,61,1665,Walking,0.9,21.9,62,Office,70,8.4
Device_9,47:47.1,76,157,Sedentary,0.85,22.7,38.6,Home,76,3.43
Device_6,52:47.1,61,48,Sedentary,0.87,25,47.9,Gym,93,8.4
Device_2,57:47.1,346.37,162,Cycling,0.92,18.1,32.8,Park,55,22.75
Device_3,02:47.1,75,619,Walking,0.97,21,50.9,Park,64,3.4
Device_1,07:47.1,61,157,Sedentary,0.9,26.9,47.6,Park,60,8.4
Device_3,12:47.1,99,749,Walking,0.95,22.1,72,Office,73,4.11
Device_1,17:47.1,108,157,Walking,0.9,21.5,42.2,Home,35,4.42
Device_1,22:47.1,61,1699,Walking,0.92,22.5,36.2,Office,40,8.4
Device_10,27:47.1,83,26,Sedentary,0.86,24.8,36.8,Office,64,3.62
Device_4,32:47.1,100,6650.77,Walking,0.87,20.9,72,Street,95,4.14
Device_3,37:47.1,92,1659,Walking,0.98,23.7,49.3,Gym,56,3.88
Device_2,42:47.1,90,1120,Walking,0.92,21.5,48,Office,58,3.82
Device_6,47:47.1,97,5650.34,Walking,0.95,23.2,49.8,Gym,27,4.04
Device_6,52:47.1,97,2811,Walking,0.89,20.9,34.4,Street,58,4.04
Device_3,57:47.1,100,1687,Walking,0.92,24.6,40.8,Park,97,4.14
Device_2,02:47.1,64,56,Sedentary,0.95,23.2,60.2,Park,89,3.14
Device_3,07:47.1,61,94,Sedentary,0.87,21.3,57.81,Office,76,8.4
Device_7,12:47.1,96,1781,Walking,1,23,30.1,Street,56,4.01
Device_6,17:47.1,61,18,Sedentary,0.92,21.6,31.8,Home,87,3.08
Device_6,22:47.1,266.22,2175,Walking,0.98,22.5,53,Home,75,14.44
Device_8,27:47.1,95,1446,Walking,0.88,21,72,Street,48,3.98
Device_9,32:47.1,69,38,Sedentary,0.94,22.3,49.5,Gym,63,3.26
Device_6,37:47.1,65,157,Sedentary,0.94,22.3,72,Gym,41,3.16
Device_10,42:47.1,72,10,Sedentary,0.9,21.2,39,Office,26,3.33
Device_2,47:47.1,82,51,Sedentary,0.92,21,55.8,Gym,93,3.59
Device_6,52:47.1,97,157,Walking,0.93,26,43.4,Gym,45,4.04
Device_10,57:47.1,84,1680,Walking,0.9,25.8,57.47,Park,27,3.64
Device_8,02:47.1,61,486,Cycling,0.87,29.4,72,Park,23,8.4
Device_2,07:47.1,61,1038,Walking,0.97,20.4,49,Street,68,8.4
Device_10,12:47.1,62,2515,Walking,0.95,21,72,Office,79,7.5
Device_4,17:47.1,62,2979,Walking,1,22,72,Park,98,7.5
Device_1,22:47.1,62,1886,Walking,0.99,24.2,54.2,Street,56,7.5
Device_4,27:47.1,62,39,Sedentary,1,22.9,32.4,Home,27,7.5
Device_6,32:47.1,106,2172,Walking,0.86,22,55.7,Street,72,4.35
Device_1,37:47.1,60,2,Sedentary,1,21.2,33.2,Park,25,3.06
Device_4,42:47.1,62,3709,Running,0.88,21.1,70.43,Street,48,7.5
Device_8,47:47.1,91,2009,Walking,0.87,30.5,46.9,Park,27,3.85
Device_1,52:47.1,94,638,Walking,0.87,21.5,53.5,Park,22,3.94
Device_2,57:47.1,141,4322,Running,0.96,21.8,56.4,Office,29,5.81
Device_8,02:47.1,86,2649,Walking,0.94,31.1,78.8,Park,36,3.7
Device_2,07:47.1,151,3131,Running,0.85,24.9,41.8,Gym,84,6.31
Device_7,12:47.1,153,3601,Running,0.88,20.4,35.2,Street,45,6.41
Device_4,17:47.1,125,157,Running,0.89,22.8,57.2,Home,40,5.09
Device_3,22:47.1,114,4506,Running,0.94,25.5,59.6,Gym,57,4.65
Device_1,27:47.1,75,157,Sedentary,0.93,22,34.8,Park,22,3.4
Device_4,32:47.1,62,157,Sedentary,0.96,24.2,51.7,Street,97,7.5
Device_6,37:47.1,62,1409.06321,Walking,0.97,47.13,72,Gym,74,7.5
Device_7,42:47.1,122,3249,Running,0.93,22.3,38.7,Office,90,4.97
Device_1,47:47.1,62,14,Sedentary,0.94,31.9,69.1,Park,94,7.5
Device_4,52:47.1,104,1147,Walking,0.95,24,72,Gym,68,4.28
Device_1,57:47.1,82,9,Sedentary,0.94,20.8,33.4,Office,33,3.59
Device_8,02:47.1,111,771,Walking,0.89,22.3,57,Office,94,4.53
Device_2,07:47.1,105,1837,Walking,0.97,22,66.8,Park,67,4.32
Device_7,12:47.1,105,157,Cycling,0.91,23.5,38.7,Office,56,4.32
Device_7,17:47.1,62,4029,Running,0.95,22,72,Park,31,7.5
Device_6,22:47.1,83,1316,Walking,0.89,25.4,72,Gym,51,3.62
Device_7,27:47.1,105,2301,Walking,0.98,24.3,82,Street,45,4.32
Device_5,32:47.1,62,58.71096708,Sedentary,0.92,19,44,Park,75,7.5
Device_1,37:47.1,105,1219,Walking,0.9,22,35.6,Office,70,4.32
Device_10,42:47.1,69,23,Sedentary,0.92,21.5,53.7,Street,32,3.26
Device_2,47:47.1,62,157,Walking,0.93,48.61,55.8,Street,63,7.5
Device_1,52:47.1,108,2790,Walking,0.87,23.6,82,Home,59,4.42
Device_6,57:47.1,110,1564,Walking,0.96,24.6,55.7,Gym,65,4.5
Device_6,02:47.1,120,332,Cycling,0.99,22.8,56.6,Gym,72,4.89
Device_8,07:47.1,104,1386,Walking,0.91,23.3,41.7,Office,52,4.28
Device_6,12:47.1,73,39,Sedentary,0.97,22,32.6,Home,40,3.35
Device_4,17:47.1,108,487,Cycling,0.87,20.5,55.9,Street,43,4.42
Device_10,22:47.1,114,723,Walking,0.88,23.1,82,Park,97,4.65
Device_7,27:47.1,103,3001,Walking,0.96,25.2,64.1,Park,23,4.24
Device_4,32:47.1,59,3,Sedentary,0.9,41.21,82,Park,85,3.04
